,currently.apparentTemperature,currently.cloudCover,currently.dewPoint,currently.humidity,currently.icon,currently.precipType,currently.pressure,currently.summary,currently.temperature,currently.time,currently.uvIndex,currently.visibility,currently.windBearing,currently.windSpeed,daily.data,latitude,longitude,offset,timezone
0,16.71,0.88,9.6,0.63,cloudy,rain,1009.01,Overcast,16.71,1420124400,6.0,,230.0,16.56,"[{'time': 1420081200, 'summary': 'Mostly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420102548, 'sunsetTime': 1420154470, 'moonPhase': 0.4, 'dewPoint': 11.5, 'humidity': 0.69, 'pressure': 1008.31, 'windSpeed': 21.09, 'windBearing': 211, 'uvIndex': 7, 'uvIndexTime': 1420135200, 'temperatureMin': 14.71, 'temperatureMinTime': 1420102800, 'temperatureMax': 22.02, 'temperatureMaxTime': 1420135200, 'apparentTemperatureMin': 14.74, 'apparentTemperatureMinTime': 1420102800, 'apparentTemperatureMax': 22.02, 'apparentTemperatureMaxTime': 1420135200}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
1,21.71,0.0,6.2,0.37,clear-day,rain,1017.1,Clear,21.71,1420210800,11.0,,230.0,18.34,"[{'time': 1420167600, 'summary': 'Clear throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420188994, 'sunsetTime': 1420240879, 'moonPhase': 0.43, 'dewPoint': 9.22, 'humidity': 0.62, 'pressure': 1015.64, 'windSpeed': 10.44, 'windBearing': 211, 'uvIndex': 11, 'uvIndexTime': 1420210800, 'temperatureMin': 9.51, 'temperatureMinTime': 1420189200, 'temperatureMax': 23.9, 'temperatureMaxTime': 1420232400, 'apparentTemperatureMin': 9.09, 'apparentTemperatureMinTime': 1420189200, 'apparentTemperatureMax': 23.9, 'apparentTemperatureMaxTime': 1420232400}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
2,25.5,0.13,13.1,0.46,partly-cloudy-day,rain,1013.5,Partly Cloudy,25.5,1420297200,10.0,,0.0,25.9,"[{'time': 1420254000, 'summary': 'Partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420275440, 'sunsetTime': 1420327287, 'moonPhase': 0.46, 'dewPoint': 12.73, 'humidity': 0.68, 'pressure': 1013.95, 'windSpeed': 12.67, 'windBearing': 3, 'uvIndex': 10, 'uvIndexTime': 1420297200, 'temperatureMin': 11.51, 'temperatureMinTime': 1420275600, 'temperatureMax': 27.91, 'temperatureMaxTime': 1420318800, 'apparentTemperatureMin': 11.51, 'apparentTemperatureMinTime': 1420275600, 'apparentTemperatureMax': 27.91, 'apparentTemperatureMaxTime': 1420318800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
3,22.21,0.0,15.6,0.66,clear-day,rain,1016.88,Clear,22.2,1420383600,11.0,,90.0,16.56,"[{'time': 1420340400, 'summary': 'Clear throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420361888, 'sunsetTime': 1420413692, 'moonPhase': 0.49, 'dewPoint': 15.4, 'humidity': 0.75, 'pressure': 1015.04, 'windSpeed': 17.53, 'windBearing': 96, 'uvIndex': 11, 'uvIndexTime': 1420383600, 'temperatureMin': 13.41, 'temperatureMinTime': 1420362000, 'temperatureMax': 26.9, 'temperatureMaxTime': 1420405200, 'apparentTemperatureMin': 13.41, 'apparentTemperatureMinTime': 1420362000, 'apparentTemperatureMax': 27.91, 'apparentTemperatureMaxTime': 1420405200}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
4,32.12,0.25,20.5,0.57,partly-cloudy-day,rain,1010.2,Partly Cloudy,29.92,1420470000,9.0,,0.0,27.71,"[{'time': 1420426800, 'summary': 'Partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420448337, 'sunsetTime': 1420500096, 'moonPhase': 0.52, 'dewPoint': 19.09, 'humidity': 0.73, 'pressure': 1009.22, 'windSpeed': 22.41, 'windBearing': 22, 'uvIndex': 9, 'uvIndexTime': 1420470000, 'temperatureMin': 16.71, 'temperatureMinTime': 1420448400, 'temperatureMax': 32.01, 'temperatureMaxTime': 1420480800, 'apparentTemperatureMin': 16.9, 'apparentTemperatureMinTime': 1420448400, 'apparentTemperatureMax': 34.24, 'apparentTemperatureMaxTime': 1420480800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
5,22.97,1.0,21.4,0.95,cloudy,rain,1009.01,Overcast,22.2,1420556400,5.0,,230.0,3.61,"[{'time': 1420513200, 'summary': 'Overcast throughout the day.', 'icon': 'cloudy', 'sunriseTime': 1420534787, 'sunsetTime': 1420586498, 'moonPhase': 0.56, 'dewPoint': 20.6, 'humidity': 0.87, 'pressure': 1007.28, 'windSpeed': 13.73, 'windBearing': 21, 'cloudCover': 0.94, 'uvIndex': 5, 'uvIndexTime': 1420567200, 'temperatureMin': 20.91, 'temperatureMinTime': 1420599600, 'temperatureMax': 27.41, 'temperatureMaxTime': 1420567200, 'apparentTemperatureMin': 21.49, 'apparentTemperatureMinTime': 1420599600, 'apparentTemperatureMax': 29.46, 'apparentTemperatureMaxTime': 1420567200}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
6,28.35,0.88,19.89,0.66,cloudy,rain,1011.29,Overcast,26.9,1420642800,6.0,,341.0,9.37,"[{'time': 1420599600, 'summary': 'Overcast throughout the day.', 'icon': 'partly-cloudy-day', 'sunriseTime': 1420621239, 'sunsetTime': 1420672898, 'moonPhase': 0.59, 'dewPoint': 20.39, 'humidity': 0.83, 'pressure': 1010.29, 'windSpeed': 7.21, 'windBearing': 319, 'cloudCover': 0.85, 'uvIndex': 6, 'uvIndexTime': 1420642800, 'temperatureMin': 19.9, 'temperatureMinTime': 1420621200, 'temperatureMax': 28.32, 'temperatureMaxTime': 1420653600, 'apparentTemperatureMin': 20.48, 'apparentTemperatureMinTime': 1420621200, 'apparentTemperatureMax': 30.21, 'apparentTemperatureMaxTime': 1420653600}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
7,30.44,0.38,21.1,0.65,partly-cloudy-day,rain,1010.7,Partly Cloudy,28.21,1420729200,9.0,,50.0,18.34,"[{'time': 1420686000, 'summary': 'Humid and partly cloudy throughout the day.', 'icon': 'partly-cloudy-day', 'sunriseTime': 1420707691, 'sunsetTime': 1420759296, 'moonPhase': 0.62, 'dewPoint': 20.78, 'humidity': 0.78, 'pressure': 1009.59, 'windSpeed': 12.56, 'windBearing': 23, 'cloudCover': 0.5, 'uvIndex': 9, 'uvIndexTime': 1420729200, 'temperatureMin': 19.9, 'temperatureMinTime': 1420707600, 'temperatureMax': 30.22, 'temperatureMaxTime': 1420740000, 'apparentTemperatureMin': 20.43, 'apparentTemperatureMinTime': 1420707600, 'apparentTemperatureMax': 32.74, 'apparentTemperatureMaxTime': 1420740000}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
8,30.88,0.0,20.79,0.62,clear-day,rain,1006.4,Clear,28.7,1420815600,11.0,,270.0,11.16,"[{'time': 1420772400, 'summary': 'Clear throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420794144, 'sunsetTime': 1420845693, 'moonPhase': 0.65, 'dewPoint': 19.98, 'humidity': 0.73, 'pressure': 1006.7, 'windSpeed': 8, 'windBearing': 233, 'uvIndex': 11, 'uvIndexTime': 1420815600, 'temperatureMin': 20.41, 'temperatureMinTime': 1420794000, 'temperatureMax': 32.21, 'temperatureMaxTime': 1420837200, 'apparentTemperatureMin': 21.07, 'apparentTemperatureMinTime': 1420794000, 'apparentTemperatureMax': 34.4, 'apparentTemperatureMaxTime': 1420837200}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
9,27.42,0.38,16.1,0.52,partly-cloudy-day,rain,1010.3,Partly Cloudy,26.9,1420902000,8.0,,71.0,20.54,"[{'time': 1420858800, 'summary': 'Humid and partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1420880598, 'sunsetTime': 1420932087, 'moonPhase': 0.68, 'dewPoint': 16.93, 'humidity': 0.64, 'pressure': 1009.45, 'windSpeed': 15.88, 'windBearing': 95, 'uvIndex': 8, 'uvIndexTime': 1420902000, 'temperatureMin': 17.51, 'temperatureMinTime': 1420880400, 'temperatureMax': 30.89, 'temperatureMaxTime': 1420912800, 'apparentTemperatureMin': 17.51, 'apparentTemperatureMinTime': 1420880400, 'apparentTemperatureMax': 31.65, 'apparentTemperatureMaxTime': 1420912800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
10,29.79,0.63,19.3,0.58,partly-cloudy-day,rain,1011.0,Mostly Cloudy,28.4,1420988400,7.0,,270.0,12.95,"[{'time': 1420945200, 'summary': 'Partly cloudy throughout the day.', 'icon': 'partly-cloudy-day', 'sunriseTime': 1420967053, 'sunsetTime': 1421018480, 'moonPhase': 0.71, 'dewPoint': 19.33, 'humidity': 0.7, 'pressure': 1009.17, 'windSpeed': 8.44, 'windBearing': 295, 'cloudCover': 0.6, 'uvIndex': 8, 'uvIndexTime': 1420999200, 'temperatureMin': 20.21, 'temperatureMinTime': 1421031600, 'temperatureMax': 31.72, 'temperatureMaxTime': 1421010000, 'apparentTemperatureMin': 20.37, 'apparentTemperatureMinTime': 1421031600, 'apparentTemperatureMax': 34.29, 'apparentTemperatureMaxTime': 1420999200}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
11,33.61,0.0,20.5,0.53,clear-day,rain,1009.91,Clear,31.21,1421074800,11.0,,320.0,9.37,"[{'time': 1421031600, 'summary': 'Partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1421053509, 'sunsetTime': 1421104871, 'moonPhase': 0.74, 'dewPoint': 18.6, 'humidity': 0.7, 'pressure': 1008.64, 'windSpeed': 9.04, 'windBearing': 6, 'uvIndex': 11, 'uvIndexTime': 1421074800, 'temperatureMin': 15.91, 'temperatureMinTime': 1421053200, 'temperatureMax': 33.61, 'temperatureMaxTime': 1421085600, 'apparentTemperatureMin': 15.95, 'apparentTemperatureMinTime': 1421053200, 'apparentTemperatureMax': 34.92, 'apparentTemperatureMaxTime': 1421085600}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
12,21.89,1.0,18.5,0.83,cloudy,rain,1008.7,Overcast,21.52,1421161200,5.0,,71.0,9.37,"[{'time': 1421118000, 'summary': 'Overcast throughout the day.', 'icon': 'cloudy', 'sunriseTime': 1421139965, 'sunsetTime': 1421191260, 'moonPhase': 0.77, 'dewPoint': 18.7, 'humidity': 0.85, 'pressure': 1008.08, 'windSpeed': 10.68, 'windBearing': 91, 'cloudCover': 0.88, 'uvIndex': 5, 'uvIndexTime': 1421161200, 'temperatureMin': 18.41, 'temperatureMinTime': 1421150400, 'temperatureMax': 25.41, 'temperatureMaxTime': 1421118000, 'apparentTemperatureMin': 18.82, 'apparentTemperatureMinTime': 1421150400, 'apparentTemperatureMax': 26.03, 'apparentTemperatureMaxTime': 1421118000}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
13,27.85,0.5,19.8,0.67,partly-cloudy-day,rain,1012.6,Mostly Cloudy,26.5,1421247600,8.0,,0.0,9.37,"[{'time': 1421204400, 'summary': 'Mostly cloudy throughout the day.', 'icon': 'partly-cloudy-day', 'sunriseTime': 1421226422, 'sunsetTime': 1421277647, 'moonPhase': 0.8, 'dewPoint': 18.92, 'humidity': 0.82, 'pressure': 1011.85, 'windSpeed': 10.04, 'windBearing': 101, 'cloudCover': 0.53, 'uvIndex': 8, 'uvIndexTime': 1421247600, 'temperatureMin': 17.01, 'temperatureMinTime': 1421226000, 'temperatureMax': 29.62, 'temperatureMaxTime': 1421258400, 'apparentTemperatureMin': 17.32, 'apparentTemperatureMinTime': 1421226000, 'apparentTemperatureMax': 32.59, 'apparentTemperatureMaxTime': 1421258400}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
14,25.21,0.38,19.3,0.71,partly-cloudy-day,rain,1019.61,Partly Cloudy,24.81,1421334000,8.0,,50.0,22.34,"[{'time': 1421290800, 'summary': 'Mostly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1421312880, 'sunsetTime': 1421364032, 'moonPhase': 0.83, 'dewPoint': 17.35, 'humidity': 0.76, 'pressure': 1017.52, 'windSpeed': 21.01, 'windBearing': 73, 'uvIndex': 8, 'uvIndexTime': 1421334000, 'temperatureMin': 16.41, 'temperatureMinTime': 1421312400, 'temperatureMax': 27.41, 'temperatureMaxTime': 1421344800, 'apparentTemperatureMin': 16.41, 'apparentTemperatureMinTime': 1421312400, 'apparentTemperatureMax': 28.66, 'apparentTemperatureMaxTime': 1421344800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
